,gene_numb,rxn_numb,aerobic_growth,aerobic_rxns,anaerobic_growth,anaerobic_rxns,type
AAA_6.re,1099,3982,0.0,54,0.0,0,Wine
AAB_6.re,1100,3983,0.0879397870694559,496,0.0227737517676686,456,Beer
AAC_6.re,1082,3962,0.0846701938524398,482,0.0223525879798281,465,Beer
AAD_6.re,1090,3981,0.0879397870694559,494,0.0227737517676686,482,Sake
AAE_6.re,1100,3986,0.0879398747951289,476,0.0227737517676687,477,Wine
AAG_6.re,1097,3989,0.0879398747951279,494,0.0227737517676687,472,Unknown
AAH_6.re,1099,3987,0.0879397870694559,525,0.0227737517676686,457,Unknown
AAI_6.re,1104,3991,0.087939787069456,484,0.0227737517676687,454,Distillery
AAK_6.re,1091,3982,0.0879398747951283,502,0.0227737517676686,487,Wine
AAL_3.re,1083,3977,0.0,35,0.0,0,Bakery
AAM_3.re,1096,3984,0.0879397870694559,477,0.0227737517676687,472,Bakery
AAN_3.re,1080,3969,0.0,152,0.0,0,Bakery
AAP_3.re,1092,3984,0.0879397870694544,476,0.0227737517676686,457,Bakery
AAQ_3.re,1094,3986,0.0879398747951282,486,0.0227737517676686,482,Beer
AAR_3.re,1094,3992,0.0879398747951289,486,0.0227737517676687,470,Beer
AAS_3.re,1094,3986,0.0771016337484445,499,0.0,0,Human
AAT_3.re,1096,3996,0.0879397870694547,516,0.0227737517676686,472,Human
AAV_3.re,1096,3983,0.0879398747951282,484,0.0227737517676686,473,Human
ABA_3.re,1092,3982,0.0879398747951285,455,0.0227737517676687,463,Human
ABB_5.re,1094,3986,0.0879397870694559,506,0.0227737517676687,436,Human
ABC_5.re,1093,3985,0.0879397870694558,488,0.0227737517676687,477,Human
ABD_5.re,1094,3978,0.0879398747951284,506,0.0227737517676686,472,Human
ABE_5.re,1094,3986,0.087939874795127,460,0.0227737517676686,480,Human
ABF_6.re,1095,3985,0.0879397870694557,509,0.0227737517676686,443,Human
ABG_5.re,1096,3986,0.087939787069456,507,0.0227737517676686,477,Human
ABH_5.re,1096,3986,0.087939874795127,460,0.0227737517676686,480,Human
ABI_5.re,1097,3998,0.0879398747951276,484,0.0227737517676686,455,Human
ABK_5.re,1092,3985,0.0879398747951286,494,0.0227737517676687,486,Human
ABL_5.re,1096,3997,0.0,159,0.0,130,Soil
ABM_5.re,1098,3993,0.0879398747951292,496,0.0227737517676687,472,Industrial
ABP_6.re,1098,3988,0.0879397870694554,518,0.0227737517676686,499,Wild
ABQ_6.re,1102,3989,0.087939874795128,497,0.0227737517676686,475,Soil
ABR_6.re,1101,3989,0.087939874795128,497,0.0227737517676686,475,Soil
ABS_6.re,1100,3985,0.0879397870694562,501,0.0227737517676686,454,Wild
ABT_6.re,1103,3990,0.0879397870694577,517,0.0227737517676687,465,Wild
ACA_6.re,1100,3988,0.0879398747951289,468,0.0227737517676686,499,Wild
ACB_6.re,1098,3988,0.0879398747951289,468,0.0227737517676686,499,Dairy
ACC_7.re,1096,3995,0.0879397870694559,512,0.0227737517676686,487,Wild
ACD_7.re,1098,3987,0.0879398747951279,462,0.0227737517676687,493,Wild
ACF_7.re,1103,3989,0.087939874795128,497,0.0227737517676686,475,Distillery
ACG_7.re,1098,3984,0.087939787069456,511,0.0227737517676686,445,Fermentation
ACH_7.re,1095,3985,0.0879398747951289,479,0.0227737517676685,476,Cider
ACI_7.re,1095,3985,0.0879398747951286,494,0.0227737517676687,486,Wild
ACK_7.re,1097,3988,0.0879397870694552,506,0.0227737517676688,452,Wine
ACL_7.re,1097,3986,0.0879397870694555,520,0.0227737517676686,473,Wine
ACM_7.re,1099,3988,0.0879398747951289,488,0.0227737517676687,483,Fermentation
ACN_8.re,1094,3979,0.0879397870694563,486,0.0227737517676685,472,Wine
ACP_8.re,1102,3990,0.0879397870694577,517,0.0227737517676687,465,Wine
ACQ_8.re,1098,3987,0.0879398747951279,462,0.0227737517676687,493,Wine
ACR_2.re,1101,4000,0.0879397870694553,479,0.0227737517676687,469,Wine
ACS_2.re,1101,3988,0.0879397870694559,494,0.0227737517676686,458,Wine
ACT_2.re,1103,3996,0.0879398747951278,482,0.0227737517676685,472,Wine
ACV_2.re,1102,3996,0.0879398747951278,482,0.0227737517676685,472,Wine
ADA_2.re,1088,3980,0.0879398747951279,474,0.0227737517676687,450,Wine
ADB_2.re,1100,3989,0.0879398747951283,502,0.0227737517676687,456,Wine
ADC_2.re,1101,3989,0.0879398747951289,485,0.0227737517676686,452,Wine
ADD_2.re,1097,3982,0.0879398747951289,466,0.0227737517676687,480,Soil
