,gene_numb,rxn_numb,aerobic_growth,aerobic_rxns,anaerobic_growth,anaerobic_rxns
AAA_6.re.xml,1126,4128,0.0,43,0.0,0
AAB_6.re.xml,1127,4108,0.08794407546516562,489,0.024024635006237458,468
AAC_6.re.xml,1109,4106,0.08467415233073634,489,0.023850939620389696,467
AAD_6.re.xml,1111,4121,0.0,39,0.0,0
AAE_6.re.xml,1127,4133,0.08794416155699204,494,0.02402463500623745,481
AAG_6.re.xml,1121,4121,0.0,64,0.0,0
AAH_6.re.xml,1121,4105,0.08794416155699175,499,0.024024635006237444,442
AAI_6.re.xml,1131,4137,0.08794416155699265,465,0.024024635006237464,477
AAK_6.re.xml,1118,4129,0.08794416155699214,454,0.024024635006237565,451
AAL_3.re.xml,1114,4124,0.0,35,0.0,0
AAM_3.re.xml,1125,4128,0.08794407382276696,520,0.024024635006237485,444
AAN_3.re.xml,1104,4111,0.0,149,0.0,0
AAP_3.re.xml,1112,4118,0.08794407546516578,491,0.024024635006237555,484
AAQ_3.re.xml,1119,4109,0.08794416155699122,499,0.024024635006237523,475
AAR_3.re.xml,1118,4130,0.08794416155699297,463,0.024024635006237485,489
AAS_3.re.xml,1126,4132,0.07710768531799471,511,0.0,0
AAT_3.re.xml,1119,4127,0.0,30,0.0,0
AAV_3.re.xml,1118,4118,0.0,48,0.0,0
ABA_3.re.xml,1119,4125,0.07547308670258006,495,0.022764575987316293,481
ABB_5.re.xml,1116,4124,0.0,27,0.0,0
ABC_5.re.xml,1121,4125,0.07547311265601692,459,0.022764575987316286,453
ABD_5.re.xml,1123,4125,0.08794407382276699,477,0.024024635006237447,466
ABE_5.re.xml,1122,4132,0.08794407546516633,497,0.024024635006237274,480
ABF_6.re.xml,1120,4131,0.0879440738227667,497,0.024024635006237516,448
ABG_5.re.xml,1122,4124,0.07547311265601638,508,0.022764575987316203,476
ABH_5.re.xml,1121,4126,0.0,46,0.0,0
ABI_5.re.xml,1123,4127,0.08794412969516645,489,0.02402463500623741,483
ABK_5.re.xml,1118,4125,0.0,32,0.0,0
ABL_5.re.xml,1117,4121,0.0,23,0.0,0
ABM_5.re.xml,1071,4065,0.0,41,0.0,0
ABP_6.re.xml,1124,4129,0.08794416155699268,473,0.02402463500623723,482
ABQ_6.re.xml,1132,4137,0.08794407546516558,503,0.024024635006237433,455
ABR_6.re.xml,1133,4137,0.08794407546516558,503,0.024024635006237433,455
ABS_6.re.xml,1127,4127,0.08794416155699296,497,0.024024635006237485,455
ABT_6.re.xml,1131,4137,0.08794412969516723,483,0.024024635006237617,478
ACA_6.re.xml,1125,4136,0.08794407546516639,488,0.024024635006237565,471
ACB_6.re.xml,1128,4136,0.08794407546516639,488,0.024024635006237565,471
ACC_7.re.xml,1121,4123,0.0,72,0.0,0
ACD_7.re.xml,1128,4126,0.0,58,0.0,0
ACF_7.re.xml,1132,4137,0.08794407546516558,503,0.024024635006237433,455
ACG_7.re.xml,1123,4130,0.0,128,0.0,156
ACH_7.re.xml,1121,4127,0.08794407546516604,503,0.024024635006237523,468
ACI_7.re.xml,1122,4124,0.0,59,0.0,0
ACK_7.re.xml,1119,4126,0.0,29,0.0,0
ACL_7.re.xml,1127,4123,0.08794407382276709,502,0.02402463500623762,481
ACM_7.re.xml,1121,4126,0.0,32,0.0,0
ACN_8.re.xml,1124,4126,0.08794416155699265,481,0.024024635006237482,515
ACP_8.re.xml,1130,4116,0.08794416155699197,496,0.0240246350062372,483
ACQ_8.re.xml,1119,4125,0.0,31,0.0,0
ACR_2.re.xml,1128,4134,0.08794412969516723,488,0.024024635006237534,463
ACS_2.re.xml,1127,4114,0.08794407546516608,490,0.024024635006237485,469
ACT_2.re.xml,1130,4131,0.08794407546516608,478,0.024024635006237475,460
ACV_2.re.xml,1129,4131,0.08794407546516608,478,0.024024635006237475,460
ADA_2.re.xml,1110,4118,0.0,47,0.0,0
ADB_2.re.xml,1127,4136,0.08794416155699183,479,0.02402463500623748,475
ADC_2.re.xml,1126,4129,0.08794416155699267,458,0.024024635006237444,481
ADD_2.re.xml,1129,4130,0.08794407546516425,515,0.02402463500623751,479
ADE_2.re.xml,1115,4118,0.0,66,0.0,0
ADF_4.re.xml,1118,4120,0.0,34,0.0,0
ADG_4.re.xml,1121,4125,0.0,22,0.0,0
ADH_4.re.xml,1121,4126,0.0,29,0.0,0
ADI_4.re.xml,1127,4128,0.08794407546516579,510,0.024024635006237485,447
ADK_8.re.xml,1115,4124,0.0,206,0.0,227
ADL_4.re.xml,1102,4117,0.0,69,0.0,37
ADM_2.re.xml,1107,4117,0.08794416155699253,499,0.024024635006237357,456
ADN_4.re.xml,1115,4122,0.0,32,0.0,0
ADP_3.re.xml,1117,4121,0.07547311265601732,495,0.022764575987316193,491
ADQ_4.re.xml,1115,4122,0.0,59,0.0,0
ADR_4.re.xml,1132,4135,0.08794416155699179,505,0.02402463500623762,449
ADS_4.re.xml,1130,4135,0.08794407546516592,528,0.02402463500623749,455
ADT_4.re.xml,1132,4137,0.0,149,0.0,268
ADV_4.re.xml,1117,4125,0.0,42,0.0,0
AEA_8.re.xml,1125,4134,0.0,132,0.0,127
AEB_8.re.xml,1107,4098,0.0,30,0.0,0
AEE_3.re.xml,1105,4109,0.08596065699684291,477,0.024024635006237426,471
AEF_8.re.xml,1115,4123,0.0,51,0.0,0
AEG_8.re.xml,1115,4126,0.0,123,0.0,125
AEH_3.re.xml,1128,4131,0.0,42,0.0,0
AEI_3.re.xml,1114,4128,0.07710768531799479,495,0.0,0
AEK_3.re.xml,1120,4132,0.08794407382276649,480,0.0240246350062375,476
AEL_3.re.xml,1114,4112,0.0,145,0.0,246
AEM_3.re.xml,1119,4130,0.08794416155699235,475,0.02402463500623747,467
AEN_3.re.xml,1113,4126,0.0,20,0.0,0
AEP_3.re.xml,1119,4131,0.0,23,0.0,0
AEQ_3.re.xml,1121,4132,0.0,139,0.0,39
AER_4.re.xml,1121,4129,0.0,132,0.0,197
AES_4.re.xml,1117,4131,0.08794416155699265,475,0.024024635006237433,463
AET_5.re.xml,1121,4128,0.08794416155699242,470,0.024024635006237544,443
AEV_5.re.xml,1106,4104,0.0,179,0.0,131
AFA_4.re.xml,1121,4133,0.08794407382276709,489,0.024024635006237485,462
AFB_4.re.xml,1118,4128,0.08794416155699174,509,0.024024635006237444,455
AFC_4.re.xml,1116,4127,0.08794412969516692,494,0.024024635006237534,480
AFD_4.re.xml,1127,4132,0.08794412969516643,523,0.024024635006237527,456
AFF_4.re.xml,1121,4128,0.08794416155699229,509,0.024024635006237527,480
AFG_4.re.xml,1114,4124,0.0,42,0.0,0
AFH_4.re.xml,1118,4123,0.0,60,0.0,0
AFI_5.re.xml,1122,4137,0.0879441615569928,494,0.024024635006237485,477
AFK_5.re.xml,1119,4110,0.0,31,0.0,0
AFL_5.re.xml,1117,4124,0.0,36,0.0,0
AFM_5.re.xml,1109,4122,0.0,41,0.0,0
AFN_4.re.xml,1117,4126,0.0,22,0.0,0
AFP_1.re.xml,1113,4124,0.0,62,0.0,81
AFQ_1.re.xml,1121,4124,0.0,20,0.0,0
AFR_5.re.xml,1122,4129,0.0,44,0.0,0
AFS_5.re.xml,1110,4102,0.08794416155699286,476,0.024024635006237506,457
AFT_5.re.xml,1121,4127,0.08794416155699233,491,0.024024635006237492,460
AFV_1.re.xml,1125,4131,0.08794407382276709,515,0.024024635006237447,472
AGA_5.re.xml,1127,4131,0.08794416155699265,508,0.02402463500623762,465
AGB_1.re.xml,1108,4118,0.08794416155699239,474,0.024024635006237527,481
AGC_1.re.xml,1121,4129,0.08794412969516674,472,0.02402463500623757,456
AGE_1.re.xml,1112,4128,0.0,29,0.0,0
