,ssGEMs,gene_numb,rxn_numb,aerobic growth,aerobic_rxns,anaerobic_growth,anaerobic_rxns,ssGEM_id
0,AAA_6.re.xml,1088,3875,0.0,22,0.0,0,AAA
1,AAB_6.re.xml,1088,3878,0.0125396028985087,505,0.0227737517676686,471,AAB
2,AAC_6.re.xml,1074,3873,0.0125396090672222,471,0.0227737517676687,472,AAC
3,AAD_6.re.xml,1082,3882,0.0125396090672223,494,0.0227737517676687,463,AAD
4,AAE_6.re.xml,1087,3882,0.0125396028985086,526,0.0227737517676688,484,AAE
5,AAG_6.re.xml,1092,3877,0.0,21,0.0,0,AAG
6,AAH_6.re.xml,1086,3883,0.0125396028985087,493,0.0227737517676688,469,AAH
7,AAI_6.re.xml,1093,3883,0.0125396028985086,507,0.0227737517676686,490,AAI
8,AAK_6.re.xml,1087,3880,0.0125396028985086,525,0.0227737517676686,488,AAK
9,AAL_3.re.xml,1084,3869,,640,0.0,0,AAL
10,AAM_3.re.xml,1085,3875,0.0,131,0.0,198,AAM
11,AAN_3.re.xml,1074,3866,0.0,25,0.0,0,AAN
12,AAP_3.re.xml,1080,3870,0.0,118,0.0,163,AAP
13,AAQ_3.re.xml,1089,3879,0.0125396090672222,498,0.0227737517676687,492,AAQ
14,AAR_3.re.xml,1086,3889,0.0125396056804767,483,0.0227737517676687,455,AAR
15,AAS_3.re.xml,1089,3876,,521,0.0,0,AAS
16,AAT_3.re.xml,1092,3891,0.0,116,0.0,216,AAT
17,AAV_3.re.xml,1090,3867,0.0104243805346724,513,0.0216423732272992,496,AAV
18,ABA_3.re.xml,1085,3880,0.0,52,0.0,141,ABA
19,ABB_5.re.xml,1084,3880,0.0,27,0.0,87,ABB
20,ABC_5.re.xml,1087,3877,0.0125396068295509,503,0.0227737517676686,485,ABC
21,ABD_5.re.xml,1096,3890,0.0125396028985086,484,0.0227737517676687,445,ABD
22,ABE_5.re.xml,1083,3878,0.0125396090672223,489,0.0227737517676686,443,ABE
23,ABF_6.re.xml,1089,3875,0.0,142,0.0,188,ABF
24,ABG_5.re.xml,1096,3888,0.0125396090672221,488,0.0227737517676686,446,ABG
25,ABH_5.re.xml,1086,3878,0.0125396028985087,511,0.0227737517676686,490,ABH
26,ABI_5.re.xml,1086,3878,0.0125396028985086,508,0.0227737517676687,457,ABI
27,ABK_5.re.xml,1090,3880,0.0125396028985086,525,0.0227737517676686,488,ABK
28,ABL_5.re.xml,1087,3878,0.0125396028985087,511,0.0227737517676686,490,ABL
29,ABM_5.re.xml,1080,3868,0.0,22,0.0,0,ABM
30,ABP_6.re.xml,1090,3881,0.0125396028985086,510,0.0227737517676686,490,ABP
31,ABQ_6.re.xml,1090,3880,0.0125396028985087,492,0.0227737517676687,481,ABQ
32,ABR_6.re.xml,1095,3881,0.0125396028985086,510,0.0227737517676686,490,ABR
33,ABS_6.re.xml,1088,3877,0.0125396028985086,498,0.0227737517676687,469,ABS
34,ABT_6.re.xml,1096,3882,0.0125396056804767,495,0.0227737517676686,474,ABT
35,ABV_6.re.xml,1069,3835,0.0,63,0.0,107,ABV
36,ACA_6.re.xml,1093,3881,0.0125396028985087,493,0.0227737517676686,448,ACA
37,ACB_6.re.xml,1092,3880,0.0125396056804767,511,0.0227737517676687,478,ACB
38,ACC_7.re.xml,1096,3889,0.0125396028985086,539,0.0227737517676688,453,ACC
39,ACD_7.re.xml,1093,3879,0.0125396056804768,498,0.0227737517676687,446,ACD
40,ACF_7.re.xml,1091,3881,0.0125396028985086,510,0.0227737517676686,490,ACF
41,ACG_7.re.xml,1088,3876,0.0,137,0.0,75,ACG
42,ACH_7.re.xml,1088,3876,0.0,131,0.0,190,ACH
43,ACI_7.re.xml,1090,3880,0.0125396028985086,525,0.0227737517676686,488,ACI
44,ACK_7.re.xml,1085,3880,0.0,27,0.0,87,ACK
45,ACL_7.re.xml,1090,3869,0.0125396056804767,512,0.0227737517676686,450,ACL
46,ACM_7.re.xml,1082,3874,0.0,132,0.0,98,ACM
47,ACN_8.re.xml,1095,3880,0.0125396056804767,480,0.0227737517676686,486,ACN
48,ACP_8.re.xml,1092,3881,0.0,53,0.0,131,ACP
49,ACQ_8.re.xml,1085,3882,0.0,68,0.0,66,ACQ
50,ACR_2.re.xml,1094,3881,0.0125396028985086,510,0.0227737517676686,490,ACR
51,ACS_2.re.xml,1091,3881,0.0125396028985086,510,0.0227737517676686,490,ACS
52,ACT_2.re.xml,1090,3875,0.0125396028985087,514,0.0227737517676686,475,ACT
53,ACV_2.re.xml,1089,3875,0.0125396028985087,514,0.0227737517676686,475,ACV
54,ADA_2.re.xml,1084,3872,0.0,22,0.0,132,ADA
55,ADB_2.re.xml,1091,3881,0.0125396056804767,487,0.0227737517676683,497,ADB
56,ADC_2.re.xml,1090,3880,0.0125396056804767,503,0.0227737517676686,470,ADC
57,ADD_2.re.xml,1092,3875,0.0125396028985086,507,0.0227737517676687,469,ADD
58,ADE_2.re.xml,1093,3880,0.0125396028985086,494,0.0227737517676686,488,ADE
59,ADF_4.re.xml,1087,3873,0.0,21,0.0,101,ADF
60,ADG_4.re.xml,1092,3888,0.0125396028985086,518,0.0227737517676688,491,ADG
61,ADH_4.re.xml,1087,3878,0.0,27,0.0,0,ADH
62,ADI_4.re.xml,1091,3878,0.0125396056804767,482,0.0227737517676686,454,ADI
63,ADK_8.re.xml,1088,3876,0.0125396090672222,478,0.0227737517676687,469,ADK
