,wildtype,1. Wine/European ,M3. Mosaic region 3,25. Sake ,1. Wine/European (subclade 4),26. Asian fermentation ,3. Brazilian bioethanol ,13. African palm wine ,10. French Guiana human ,8. Mixed origin ,1. Wine/European (subclade 3),5. French dairy 
"Alanine, aspartate and glutamate metabolism",0.18595091600578156,0.1812484256698343,0.32874120661816886,0.1569183158980494,0.0,0.14487413080379097,0.4895918862651032,0.525521246157907,0.32431597451767447,0.15077766147627186,0.150347804011372,0.15737597733923697
Arginine and proline metabolism,0.0,0.0,0.19385237408627864,0.48584996661592256,0.0,0.24427482872438866,0.0,0.0,0.20311777869285988,0.20627110909673116,0.19068624520901212,0.20721539090243693
Arginine biosynthesis,0.3061081063079806,0.3110078977928942,0.1678059091800768,0.47696679832439115,0.6348366482340947,0.09831880294832067,0.3392635333217035,0.20097028494333125,0.0,0.29794864337257315,0.28456149272439685,0.1768339169077333
Biosynthesis of unsaturated fatty acids,0.0,0.0,0.06957162650093363,0.0,0.0071523916261131415,0.0,0.38692912822318826,0.0,0.08111134096223543,0.06578865287976338,0.0748853027097997,0.0007915294535614484
Citrate cycle (TCA cycle),0.3083125413943431,0.1387535946386193,0.07347302383993887,0.3667354970426059,0.43753196819726003,0.06896683970656405,0.2739503081815239,0.13219284133242212,0.0649642870728786,0.0,0.21471127718960198,0.48510369135203835
Complex alcohol metabolism,0.19084648085641628,0.0,0.0,0.0,0.0,0.21577948536399286,0.0,0.0,0.0,0.0,0.2000921081500895,0.2266560457077633
Cysteine and methionine metabolism,0.0,0.1798660900134632,0.18428486264189553,0.17710669047711441,0.16550373959227122,0.15516148496974425,0.0,0.15195856514590805,0.33353984455683744,0.0,0.0,0.0
Fatty acid degradation,0.0,0.0,0.06854023081700909,0.0,-0.1257744678860941,0.0,0.0,0.0,0.0,0.0,0.0,0.5365688260763579
Glycerolipid metabolism,0.0515583722330163,0.07782851852332515,0.165489492496996,0.18191651979163193,0.05826345556356108,0.027744289299781604,0.053790054076141514,0.13065522920936998,0.10355661218445585,0.055470808067649535,0.2231024392749963,0.12940036692540632
Glycerophospholipid metabolism,0.26512743027015523,0.2242613330280075,0.18748551618202042,0.1275497876140554,0.1913186810125181,0.2205041619499228,0.40246431196090493,0.19795120469326774,0.12415681818987902,0.2894786665198826,0.293336153068042,0.2581115085936382
"Glycine, serine and threonine metabolism",0.3087509734762423,0.06838306248688185,0.16644940199737165,0.2104683784068115,0.16934432626582746,0.37666583434492734,0.3447567054410683,0.16493079819522502,0.14052161670684551,0.2759957417669929,0.3185796720242626,0.19274556429444328
Glycolysis / gluconeogenesis,0.28989361316006296,0.09718549065377731,0.43105088828051713,0.33637849142418935,0.6277232178060785,0.4372649241124275,0.2648307221722797,0.3335674428615782,0.35919186598571823,0.2582755559214817,0.3795203535927145,0.3890616966578311
Inositol phosphate metabolism,0.04963598419968628,0.04120301434807194,-0.0006464487279395896,0.1272877935169481,0.0,0.0,0.08665802471454498,0.0388327175686223,0.0,0.039321638838691976,0.13232153069979485,0.07792312852752308
Lysine metabolism,0.5602880557929631,0.3697575418224687,0.5818477739713377,0.5773994059523433,0.5918137883609383,0.0,0.5786979551189464,0.6517982537961494,0.5091092443275751,0.8101816066544687,0.19782583982235197,0.16402615153903863
One carbon pool by folate,0.0,0.0,0.1476816193580147,0.0,0.0,0.5941269145286436,0.5977112757598055,0.4968936883475351,0.14255299204765304,0.4960986863991578,0.6181543507471354,0.0
Oxidative phosphorylation,0.1628553756068719,0.29242264550253394,0.29478949640208707,0.5938778557075691,0.3092319651272703,0.19403375041429982,0.6693147860484673,0.0,0.0,0.3090553791609059,0.33039058264786936,0.6130727150179383
Pentose phosphate pathway,0.0,0.14864882937181934,0.0,0.0,0.0,0.14161090710475785,0.1646952539354523,0.0,0.0,0.32559925200923057,0.16802040336151752,0.0
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.0,0.0,0.08269400802006803,0.06029503352440592,0.4356942603271424,0.6954901589118179,0.05950039149697271,0.628277053756993,0.05708687217701144,0.0,0.07038513140856859,0.41176103779615125
Purine metabolism,0.0,0.0,0.3535538038068967,0.2943551299526771,0.0,0.2764624474339217,0.4947241737892216,0.16013134247023944,0.03253967385339123,0.2693382779393896,0.02985461178316298,0.10609802423796193
Pyrimidine metabolism,0.30686906625447785,0.19482659996148663,0.4977829984017889,0.3362415230398367,0.26725098066073966,0.3498896942399078,0.3589890223767266,0.28458954933292585,0.0614242233474412,0.2121427330894739,0.31828727995003037,0.19429956793100084
Pyruvate metabolism,0.4059574552670874,0.40171699983409,0.14388190463052522,0.14586216632191415,0.42168230567894727,0.13459988035764597,0.2891617742881186,0.29246268350331395,0.277373851202137,0.316008668888385,0.23916218797684236,0.0
Riboflavin metabolism,0.2128170576567984,0.0,0.23431874301745034,0.0,0.22022860596685323,0.187928442858882,0.21275664161570992,0.20924622276783547,0.0,0.0,0.0,0.0
Starch and sucrose metabolism,0.2905394964113005,0.0,0.14273941559540274,0.0,0.0,0.18626349621727684,0.16676721218395735,0.0,0.0,0.0,0.0,0.0
Steroid biosynthesis,0.0,0.1482646945742264,0.17680854927659637,0.29759710455580723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tryptophan metabolism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4455105571961065,0.0,0.19269018272488123
