,pearson correlation coefficient,rxnName,subsystem,p_value
r_0501,0.8315823341975479,glycine cleavage system,"Glycine, serine and threonine metabolism",3.4626508403116335e-203
r_0491,0.7948584547604999,glycerol-3-phosphate dehydrogenase (NAD),Glycerophospholipid metabolism,6.4149154760304766e-173
r_1216,0.7321417212490661,L-proline transport,"Transport [c, e]",2.2488873236982863e-133
r_0735,0.6846387281582715,mevalonate kinase (atp),Terpenoid backbone biosynthesis,3.382507527151648e-110
r_0692,0.6753943391010898,L-threonine deaminase,"Glycine, serine and threonine metabolism",3.4062881479237964e-106
r_2308,0.6592354721848153,"glycerol-3-phosphate acyltransferase (16:0), ER membrane",Glycerolipid metabolism,1.5440697553719449e-99
r_1265,0.6540436101699789,succinate-fumarate transport,"Transport [c, m]",1.7402262187422686e-97
r_2447,0.6473683998187634,"PS synthase (1-16:1, 2-16:1), ER membrane",Glycerophospholipid metabolism,6.606316744896499e-95
r_2492,0.6405388371421188,"PE methyltransferase (1-16:0, 2-18:1), ER membrane",Glycerophospholipid metabolism,2.470175972760248e-92
r_2508,0.6405388371421166,"phosphatidyl-N,N-dimethylethanolamine methyltransferase (1-16:0, 2-18:1), ER membrane",Glycerophospholipid metabolism,2.47017597276446e-92
r_2500,0.6405388371421159,"phosphatidyl-N-methylethanolamine methyltransferase (1-16:0, 2-18:1), ER membrane",Glycerophospholipid metabolism,2.470175972766145e-92
r_1110,0.6351293328537961,ADP/ATP transporter,"Transport [c, m]",2.4242335098137883e-90
r_1254,0.6259897977208344,pyruvate transport,"Transport [c, e]",4.580314737580746e-87
r_3545,0.6224873933207458,"L-serine transport, cytoplasm-ER membrane","Transport [c, erm]",7.721493337411637e-86
r_0719,0.6214580190574549,malic enzyme (NADP),Pyruvate metabolism,1.7591700431186416e-85
r_2468,0.6213757218317273,"PS decarboxylase (1-16:0, 2-18:1), mitochondrial membrane",Glycerophospholipid metabolism,1.8786265736214819e-85
r_0959,0.6180907778834215,pyruvate decarboxylase,Glycolysis / gluconeogenesis,2.545823200749223e-84
r_0226,0.6094439032812288,ATP synthase,Oxidative phosphorylation,2.1005134596479018e-81
r_0439,0.6077417622177774,ubiquinol:ferricytochrome c reductase,Oxidative phosphorylation,7.689229534381719e-81
r_1219,0.6052243419260899,L-tryptophan transport,"Transport [c, e]",5.1657425315095164e-80
r_0307,0.6002642985781206,CTP synthase (NH3),Pyrimidine metabolism,2.0969685044983506e-78
r_0502,0.599372283216137,glycine hydroxymethyltransferase,"Glycine, serine and threonine metabolism",4.0539292072431343e-78
r_0795,0.5960145528283488,nucleoside diphosphate kinase,Pyrimidine metabolism,4.7585526957074196e-77
r_0893,0.593386183445692,phosphoglycerate mutase,Glycolysis / gluconeogenesis,3.2060560457477986e-76
r_0892,0.5904574850000893,phosphoglycerate kinase,Glycolysis / gluconeogenesis,2.6314176232727504e-75
r_0438,0.5853075084745911,ferrocytochrome-c:oxygen oxidoreductase,Oxidative phosphorylation,1.0122741828070524e-73
r_0886,0.5819541426162711,phosphofructokinase,Glycolysis / gluconeogenesis,1.0526102253935187e-72
r_1838,0.5794157800557486,homocitrate synthase,Pyruvate metabolism,6.084843361741157e-72
r_0732,0.5673859715656013,methylenetetrahydrofolate dehydrogenase (NADP),One carbon pool by folate,2.02352348230185e-68
r_0725,0.5671143640912586,methenyltetrahydrofolate cyclohydrolase,One carbon pool by folate,2.4207904526885157e-68
r_0446,0.5646158722550003,formate-tetrahydrofolate ligase,One carbon pool by folate,1.2493980436759746e-67
r_2131,0.5645776604462146,isocitrate dehydrogenase,Citrate cycle (TCA cycle),1.2810152857970154e-67
r_0366,0.5618382110213721,enolase,Glycolysis / gluconeogenesis,7.620397800633841e-67
r_1277,0.559642446356021,water diffusion,"Transport [c, e]",3.144167808648633e-66
r_2464,0.5583497578556968,"PS decarboxylase (1-16:0, 2-16:1), mitochondrial membrane",Glycerophospholipid metabolism,7.206654682322012e-66
r_0486,0.5571535159689012,glyceraldehyde-3-phosphate dehydrogenase,Glycolysis / gluconeogenesis,1.5476691466022882e-65
r_0467,0.5463273101901588,glucose-6-phosphate isomerase,Glycolysis / gluconeogenesis,1.3596157165967288e-62
r_2034,0.5433365406065261,pyruvate transport,"Transport [c, m]",8.468998961055111e-62
r_2141,0.5427980355759798,fatty-acyl-CoA synthase (n-C18:0CoA),Fatty acid biosynthesis,1.1749595044145078e-61
r_0310,0.5386736900923051,cystathionine g-lyase,Cysteine and methionine metabolism,1.4143190087817222e-60
r_0832,0.5251603596130728,oxoglutarate dehydrogenase (lipoamide),Citrate cycle (TCA cycle),3.872341740948556e-57
r_0831,0.5251603596130726,oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase),Citrate cycle (TCA cycle),3.872341740949437e-57
r_2488,0.5232564831557402,"PE methyltransferase (1-16:0, 2-16:1), ER membrane",Glycerophospholipid metabolism,1.1479123700500454e-56
r_2496,0.5232564831557398,"phosphatidyl-N-methylethanolamine methyltransferase (1-16:0, 2-16:1), ER membrane",Glycerophospholipid metabolism,1.1479123700503062e-56
r_2504,0.5232564831557398,"phosphatidyl-N,N-dimethylethanolamine methyltransferase (1-16:0, 2-16:1), ER membrane",Glycerophospholipid metabolism,1.1479123700503062e-56
r_0208,0.5219124588433786,argininosuccinate synthase,Arginine biosynthesis,2.461882089718502e-56
r_1022,0.5190770518252243,succinate-CoA ligase (ADP-forming),Citrate cycle (TCA cycle),1.21748911583653e-55
r_0989,0.5106741832443037,"saccharopine dehydrogenase (NADP, L-glutamate forming)",Lysine metabolism,1.2726267939481822e-53
r_0018,0.5089487290942522,2-aminoadipate transaminase,Lysine metabolism,3.253873922099514e-53
r_0988,0.5082546039326429,"saccharopine dehydrogenase (NAD, L-lysine forming)",Lysine metabolism,4.739742663277103e-53
r_1054,0.5059699868512566,triose-phosphate isomerase,Glycolysis / gluconeogenesis,1.624659059841957e-52
r_0545,0.5056612803158238,homoisocitrate dehydrogenase,Lysine metabolism,1.917538364285925e-52
r_0542,0.5006945246367094,homoacontinate hydratase,Lysine metabolism,2.6963823850702074e-51
r_0027,0.49823603250052817,2-methylcitrate dehydratase,Lysine metabolism,9.819594457797486e-51
r_1811,0.49403769399828645,glycine transport,"Transport [c, m]",8.712349022884993e-50
r_0300,0.4861457813161593,citrate synthase,Citrate cycle (TCA cycle),4.8636741985211314e-48
r_0816,0.4828229192998331,ornithine carbamoyltransferase,Arginine biosynthesis,2.5640299277263824e-47
r_2132,0.47425242655170374,oxoglutarate/malate exchange,"Transport [c, m]",1.7171588296885394e-45
r_0207,0.4712518273232798,argininosuccinate lyase,Arginine biosynthesis,7.276608715839259e-45
r_0658,0.47124511301433203,isocitrate dehydrogenase (NAD+),Citrate cycle (TCA cycle),7.300041451283634e-45
r_0569,0.47028899442769984,inorganic diphosphatase,Oxidative phosphorylation,1.1530355578618912e-44
r_2450,0.4694433277485802,"PS synthase (1-16:0, 2-18:1), ER membrane",Glycerophospholipid metabolism,1.7254575238690074e-44
r_2333,0.4680452125434369,"1-acyl-sn-glycerol-3-phosphate acyltransferase (1-16:0, 2-18:1), ER membrane",Glycerolipid metabolism,3.351625583799006e-44
r_0451,0.46390743527561407,fumarase,Citrate cycle (TCA cycle),2.348885612901165e-43
r_1795,0.4521777593475354,formate transport,"Transport [c, e]",5.080186117734396e-41
r_0445,0.4429329310796647,formate dehydrogenase,Glyoxylate and dicarboxylate metabolism,3.0423125633406133e-39
r_0214,0.4422502284450045,aspartate carbamoyltransferase,Pyrimidine metabolism,4.095419315212483e-39
r_0148,0.4391211277872349,adenylate kinase,Purine metabolism,1.585791847968382e-38
r_0473,0.43728282880534003,glutamate-5-semialdehyde dehydrogenase,Arginine and proline metabolism,3.4898420642447196e-38
r_0079,0.43664480919078863,5'-phosphoribosylformyl glycinamidine synthetase,Purine metabolism,4.583609477021626e-38
r_0468,0.4288735206092665,glutamate 5-kinase,Arginine and proline metabolism,1.2114089112258355e-36
r_4702,0.4268304791227124,L-cysteine:2-oxoglutarate aminotransferase,Sulfur metabolism,2.825194835151602e-36
r_3103,0.4154206669219267,"PG phospholipase C (1-16:1, 2-18:1), mitochondrial membrane",Glycerophospholipid metabolism,2.8779544541042376e-34
r_0915,0.4153626892781155,phosphoribosylpyrophosphate amidotransferase,Purine metabolism,2.945043186391981e-34
r_0701,0.41309856562550373,leucyl-tRNA synthetase,tRNA metabolism,7.217418095053849e-34
r_0911,0.41167351640787564,phosphoribosylaminoimidazole-carboxylase,Purine metabolism,1.2643837925771158e-33
r_0912,0.40980523643537015,phosphoribosylaminoimidazolecarboxamide formyltransferase,Purine metabolism,2.626249432010909e-33
r_0570,0.40980523643537015,inosine monophosphate cyclohydrolase,Purine metabolism,2.626249432010909e-33
r_2309,0.4083729288863818,"glycerol-3-phosphate acyltransferase (16:1), ER membrane",Glycerolipid metabolism,4.585167863499856e-33
r_0918,0.407349565745292,phosphoserine transaminase,"Glycine, serine and threonine metabolism",6.816409125759099e-33
r_0151,0.4073319175219351,adenylosuccinate lyase (AICAR),Purine metabolism,6.863095723873746e-33
r_0914,0.40728824069111147,phosphoribosylglycinamidine synthetase,Purine metabolism,6.980005687553479e-33
r_0855,0.40728824069111147,phopshoribosylaminoimidazole synthetase,Purine metabolism,6.980005687553479e-33
r_0908,0.4045863768480965,phosphoribosyl amino imidazolesuccinocarbozamide synthetase,Purine metabolism,1.9748582575544244e-32
r_1115,0.39939769427586036,ammonia transport,"Transport [c, e]",1.417041124024675e-31
r_0727,0.3993382063832561,methionine synthase,Cysteine and methionine metabolism,1.4491292142731906e-31
r_0209,0.39728370658457446,arginyl-tRNA synthetase,tRNA metabolism,3.13149529769217e-31
r_0453,0.39618546502210183,dihydoorotic acid dehydrogenase,Pyrimidine metabolism,4.717101772964271e-31
r_0505,0.3957596068223789,glycine-cleavage complex (lipoamide),"Glycine, serine and threonine metabolism",5.526977534436595e-31
r_1057,0.39127735304748834,tryptophanyl-tRNA synthetase,tRNA metabolism,2.8886246937791232e-30
r_0313,0.39118810696258843,cysteinyl-tRNA synthetase,tRNA metabolism,2.9845529923182607e-30
r_0699,0.39066809694343274,leucine transaminase,"Valine, leucine and isoleucine metabolism",3.609632147090827e-30
r_0729,0.38709735793874966,methionyl-tRNA synthetase,tRNA metabolism,1.3199607615391032e-29
r_1201,0.38368364893591245,L-histidine transport,"Transport [c, e]",4.4920588845382716e-29
r_1245,0.38136385378576465,phosphate transport,"Transport [c, m]",1.0240441922508097e-28
r_2334,0.37713554426919293,"1-acyl-sn-glycerol-3-phosphate acyltransferase (1-16:1, 2-16:1), ER membrane",Glycerolipid metabolism,4.521125024176446e-28
r_0157,0.37301034948658335,alanyl-tRNA synthetase,tRNA metabolism,1.8851823465902667e-27
r_0665,0.3727423042447252,isoleucyl-tRNA synthetase,tRNA metabolism,2.0669875397640818e-27
r_0667,0.3679638511497827,isopentenyl-diphosphate D-isomerase,Terpenoid backbone biosynthesis,1.051649790582821e-26
r_0511,0.3675453517321664,glycogen phosphorylase,Starch and sucrose metabolism,1.2111181207079466e-26
r_1184,0.3672606194547524,L-arganine transport,"Transport [c, e]",1.3330661306752673e-26
r_1214,0.36147403772548037,L-methionine transport,"Transport [c, e]",9.174821462976462e-26
r_0713,0.3579474121349749,malate dehydrogenase,Citrate cycle (TCA cycle),2.916084736021805e-25
r_0852,0.3562954473484953,phenylalanyl-tRNA synthetase,tRNA metabolism,4.9875352388724375e-25
r_0938,0.35600316010882116,prephenate dehydratase,"Phenylalanine, tyrosine and tryptophan biosynthesis",5.482564593986208e-25
r_0503,0.3536823558992868,glycine hydroxymethyltransferase,"Glycine, serine and threonine metabolism",1.158209560610829e-24
r_0510,0.3504395901666173,glycogen (starch) synthase,Starch and sucrose metabolism,3.259288187925419e-24
r_0698,0.34716220492548305,lanosterol synthase,Steroid biosynthesis,9.161410398923666e-24
r_0471,0.34684263411865646,glutamate dehydrogenase (NADP),"Alanine, aspartate and glutamate metabolism",1.012615253496941e-23
r_0499,0.34562215507016264,glycinamide ribotide transformylase,Purine metabolism,1.4826764682005097e-23
r_0353,0.3425420813885612,"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)","Valine, leucine and isoleucine metabolism",3.8523716266617695e-23
r_1066,0.34043862258322954,tyrosyl-tRNA synthetase,tRNA metabolism,7.349696794681953e-23
r_2446,0.33879866278628173,"PS synthase (1-16:0, 2-16:1), ER membrane",Glycerophospholipid metabolism,1.2120084883713692e-22
r_0016,0.33788984675168815,2-aceto-2-hydroxybutanoate synthase,"Valine, leucine and isoleucine metabolism",1.5970998181000218e-22
r_0811,0.33603202257874853,nucleoside-diphosphate kinase (ATP:UDP),Pyrimidine metabolism,2.7992840636265277e-22
r_2045,0.3346816551953018,serine transport,"Transport [c, m]",4.199064511270145e-22
r_0539,0.332556173369414,histidyl-tRNA synthetase,tRNA metabolism,7.917299910959685e-22
r_2827,0.33072897704524395,"phosphatidylinositol 4-kinase (1-18:1, 2-18:1), cell envelope",Inositol phosphate metabolism,1.3602828574044148e-21
r_0512,0.33021413118497267,glycyl-tRNA synthetase,tRNA metabolism,1.5833364671042618e-21
