,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Genes,logp,logc,num,fraction
0,CUSTOM140629298837632,Anaerobic_fermentation,3/6,0.00020570440781376794,0.0008913857671929943,24.747692307692308,r_2115;r_0165;r_2116,8.489070333174382,3.2087322445743314,3,0.5
1,CUSTOM140629298837632,Anerobic_fermentation,2/3,0.0014605677121754892,0.003797476051656272,32.4818401937046,r_2115;r_0959,6.528930074886296,3.4806811698986917,2,0.6666666666666666
4,CUSTOM140629298837632,Citrate cycle (TCA cycle),6/20,3.1763559503961436e-06,1.6517050942059945e-05,15.037523452157599,r_0303;r_2131;r_0452;r_2305;r_0659;r_0713,12.659775945797568,2.710548640877809,6,0.3
10,CUSTOM140629298837632,"Glycine, serine and threonine metabolism",5/33,0.0007220079537264153,0.0020858007552096445,7.670332547787379,r_0917;r_0501;r_0502;r_0891;r_0918,7.233474402890554,2.0373599713867865,5,0.15151515151515152
11,CUSTOM140629298837632,Glycolysis / gluconeogenesis,14/34,2.661304148609917e-15,6.919390786385784e-14,21.940229231789335,r_2115;r_0450;r_0892;r_0959;r_1054;r_0486;r_0534;r_2116;r_0962;r_0165;r_0366;r_0886;r_0893;r_0467,33.55996011083345,3.088321902914168,14,0.4117647058823529
12,CUSTOM140629298837632,Glycolysis_downstream,7/9,7.65056330376266e-11,9.945732294891458e-10,37.9940119760479,r_0892;r_1054;r_0486;r_0534;r_0962;r_0366;r_0893,23.293656743328164,3.6374285677317326,7,0.7777777777777778
13,CUSTOM140629298837632,Glycolysis_upstream,3/8,0.0005575031297461764,0.001811885171675073,18.915294117647058,r_0450;r_0467;r_0886,7.492042440751272,2.9399708074035438,3,0.375
16,CUSTOM140629298837632,One carbon pool by folate,2/12,0.028186462263086184,0.06107066823668673,9.07457627118644,r_0732;r_0725,3.5689134778972154,2.205476687180533,2,0.16666666666666666
17,CUSTOM140629298837632,Oxidative phosphorylation,7/11,6.761957088103263e-10,5.860362809689494e-09,31.370736787294977,r_0568;r_0226;r_0439;r_0569;r_0773;r_0438;r_0770,21.11453857171109,3.4458755089301176,7,0.6363636363636364
20,CUSTOM140629298837632,Pyruvate metabolism,3/23,0.013835059903013031,0.032701050679848985,6.816170212765957,r_0719;r_0112;r_0718,4.280549335935994,1.919297761745423,3,0.13043478260869565
21,CUSTOM140629298837632,Terpenoid backbone biosynthesis,8/35,6.534823994096396e-07,4.247635596162657e-06,11.587281263337601,r_0667;r_0558;r_0735;r_0739;r_0560;r_0904;r_0462;r_0355,14.240950237053339,2.449908053763433,8,0.22857142857142856
25,CUSTOM140629298837632,"Transport [c, m]",10/126,0.00043027995611162,0.0015981826941288742,4.02285616085238,r_1811;r_1978;r_2032;r_1245;r_2132;r_1226;r_2034;r_1708;r_1129;r_1239,7.7510745004000565,1.391992138128201,10,0.07936507936507936
